node_id,betweenness_count,balance(millisat)
1988,963,1512579500
1591,963,250000000
1589,963,580148000
1117,963,193762500
951,963,1500000000
686,963,29386662000
382,963,297852500
1614,962,222651000
1513,962,74541000
836,962,710997500
435,962,377343000
153,962,50000000
1963,961,341921000
1773,961,100000000
1955,960,74835000
871,960,51482500
850,960,9684547500
294,960,339611500
1438,959,90000000
584,959,48605000
235,959,1298845332500
16931,958,250000000
7534,958,436500000
1682,958,381564111000
913,958,321531500
623,958,500000000
241,958,1438693060500
1740,957,5332500000
1552,957,146862500
873,957,100000000
14546,956,50000000
1705,956,5264804000
1436,956,403597500
1823,955,65886500
1540,955,70000000
1371,955,1906324500
966,955,12819455000
932,955,200000000
792,955,86168500
1863,954,451742500
1391,954,948848500
849,954,332274000
185,954,10813607500
3815,953,3634112000
1779,953,2783643000
1737,953,2500000000
1543,953,200000000
1130,953,169994000
1100,953,32011000
994,953,73391000
385,953,100000000
1938,952,4803772000
1872,952,250000000
1205,952,566444500
786,952,2394929500
585,952,50000000
1948,951,16208685500
1930,951,2418323000
691,951,75012000000
1716,950,14549651000
1319,950,28006613000
833,950,7214330500
593,950,8332510500
29,950,1585768500
7713,949,35000000
1868,949,25344045500
1486,949,512807500
642,949,1301889260500
357,949,1000000000
21,949,75000000
1989,948,192508000
1918,948,620370625500
1656,948,512500000
1623,948,20000000
1468,948,1749189500
803,948,4453667500
757,948,6679183000
16127,947,25000000
1422,947,89061224000
1224,947,1032328838000
801,947,167823000
321,947,3861415000
1974,946,121061500
1511,946,291318500
1351,946,144627000
1185,946,11049653000
1636,945,17874000
1206,945,336961500
1096,945,71494500
10,945,634255472000
1703,944,7075159500
1545,944,51619853500
605,944,388884500
538,944,500000000
1981,943,1923440500
1915,943,30862500
1041,943,2762589500
985,943,299970000
570,943,285000000
534,943,63438538500
1421,942,500000000
1927,941,75000000
703,941,6891447000
349,941,3341418000
1852,940,25000000
1508,940,158871500
1246,940,112638500
1068,940,115444015000
668,940,1953391631500
600,940,741372500
461,940,4094132500
345,940,11466502500
1877,939,18544510500
1760,939,1250000000
1697,939,145723000
1529,939,148943000
1467,939,86954083000
1281,939,50000000
1081,939,793322000
398,939,500000000
367,939,300000000
81,939,1137962000
1538,938,73981000
1236,938,10500000000
941,938,10331084000
826,938,271393000
427,938,10145385500
240,938,50245407500
12,938,137690919500
1816,937,16018030195500
1809,937,22232508000
1742,937,2519000000
301,937,268847219500
244,937,405748190000
223,937,1000000000
67,937,260664406000
4626,936,7120038500
1399,936,2767836000
1337,936,4906166000
1329,936,20552668000
1297,936,150000000
825,936,270230000
238,936,1967434462500
3252,935,121922099000
1899,935,372879000
865,935,203791000
756,935,1970384500
1797,934,199848000
1247,934,24472375000
760,933,36790240000
618,933,2549255000
394,933,516903500
269,933,1202625500
156,933,50000000
3271,932,50000000
1976,932,9300000000
837,932,225041500
87,932,250000000
11549,931,25000000
6658,931,2500000000
1944,931,29301500
1753,931,1000000000
1417,931,80480473000
1326,931,15370150000
1248,931,263638000
949,931,17429102000
933,931,300000000
827,931,1772810500
789,931,19744687000
45,931,2530002511000
11110,930,500000000
1665,930,49068500
1035,930,100000000
867,930,65001000
709,930,5198088000
288,930,35966000
1890,929,11326567500
1770,929,263842195500
1592,929,2357393500
1553,929,150000000
1539,929,500000000
1425,929,155522500
507,929,4586629500
4534,928,3370271500
1929,928,12919029500
1533,928,1000000000
1463,928,50000000
1339,928,171806000
1176,928,475000000
816,928,800000000
800,928,100000000
752,928,2616038000
544,928,30000000
413,928,1546776500
1788,927,145000000
976,927,787021500
893,927,1042957500
366,927,8388607500
1829,926,4809316000
1305,926,100000000
1268,926,1254765500
853,926,50000000
736,926,250000000
433,926,741165000
360,926,631333000
1991,925,1140908500
1959,925,207853749500
663,925,145290000
555,925,70621000
420,925,7558000500
176,925,58605000
1287,924,37094495500
864,924,100000000
661,924,87207500
649,924,12500000
622,924,19228247500
1833,923,1495000000
942,923,1257428500
483,923,477859500
1951,922,217906500
1673,922,2170285000
1640,922,27859971500
1181,922,250000000
1137,922,3500000000
1032,922,5669725500
1007,922,4750916578000
566,922,525000000
459,922,550000000
26,922,147110748500
725,921,4610065000
1789,920,110936000
1666,920,124187500
1472,920,25403500
1264,920,194682000
1251,920,4875000000
1116,920,241331000
972,920,94735216000
838,920,1026610000
430,920,312228322000
7535,919,14477496000
1840,919,500000000
1667,919,106075765500
688,919,500000000
410,919,19026105000
191,919,100000000
17107,918,6340421500
1795,918,71000000
1785,918,150000000
1408,918,170508500
1058,918,300000000
845,918,250000000
696,918,1468411000
643,918,1500000000
1936,917,2055000000
1394,917,50000000
1333,917,5163980000
1150,917,767112000
245,917,1476469862500
13,917,100000000
1548,916,300000000
1250,916,170149889500
1151,916,117310000
