id,short_channel_id
336,562591x2552x1
337,562592x1687x0
338,562873x980x1
339,562889x2075x0
340,562889x2080x0
341,562890x758x1
342,562890x826x0
343,562890x869x0
344,562890x886x1
345,562890x940x0
346,562890x943x0
347,562890x993x0
348,562890x1050x0
349,562890x1051x0
350,562890x1059x1
351,562890x1099x0
352,562890x1114x0
353,562890x1118x0
354,562890x1123x0
355,562892x607x0
356,562892x608x0
357,562892x631x0
358,562892x633x0
359,562892x727x0
360,562892x735x0
361,562892x746x0
362,562892x754x0
363,562892x755x0
364,562892x767x0
365,562892x769x0
366,562892x788x0
367,562892x789x0
368,562892x817x0
369,562892x838x0
370,562892x872x0
371,562892x880x0
372,562892x922x0
373,562892x934x0
374,562892x938x0
375,562892x961x0
376,562892x984x0
377,562892x1013x0
378,562892x1016x0
379,562892x1032x0
380,562892x1087x0
381,562892x1143x0
382,562892x1180x0
383,562892x1192x0
384,562892x1215x0
385,562892x1218x0
386,562892x1227x1
387,562892x1232x0
388,562896x2652x0
389,562901x1621x0
390,562901x1691x0
391,562908x513x0
392,562977x909x1
393,563013x2325x1
394,563013x2363x0
395,563013x2446x0
396,563013x2451x0
397,563013x2464x0
398,563013x2465x0
399,563013x2487x0
400,563013x2565x0
401,563013x2604x0
402,563013x2622x0
403,563013x2632x0
404,563013x2643x0
405,563013x2680x0
406,563013x2728x0
407,563013x2751x0
408,563013x2774x0
409,563014x97x0
410,563014x122x0
411,563014x151x0
412,563014x163x0
413,563014x232x0
414,563014x261x0
415,563017x976x1
416,563187x1199x1
417,563205x973x0
418,563285x1119x1
419,563329x412x1
420,563330x875x1
421,563429x95x0
422,563438x2079x1
423,563451x2485x0
424,563451x2595x1
425,563451x2596x1
426,563529x1243x1
427,563539x1582x0
428,563581x2287x0
429,563647x1411x1
430,563647x1809x0
431,563647x1813x1
432,563647x1816x1
433,563648x539x0
434,563648x543x0
435,563648x592x0
436,563680x585x1
437,563798x1078x0
438,563825x989x0
439,563825x997x0
440,563833x2508x0
441,563844x1822x0
442,563909x2181x1
443,563911x1013x1
444,563922x635x0
445,563923x382x0
446,563924x594x0
447,563925x1576x0
448,563937x312x1
449,563939x1051x1
450,563982x2188x0
451,564004x1162x0
452,564009x2284x1
453,564015x626x1
454,564015x1383x0
455,564015x1839x0
456,564015x1841x0
457,564015x1878x1
458,564015x1897x0
459,564015x1904x0
460,564015x1933x0
461,564015x1951x0
462,564015x1959x0
463,564015x1971x0
464,564015x1976x0
465,564015x1979x0
466,564015x2035x0
467,564015x2076x0
468,564058x186x1
469,564150x395x0
470,564183x2636x1
471,564186x1934x0
472,564189x1496x0
473,564195x1274x0
474,564223x1230x0
475,564261x1261x1
476,564292x1343x1
477,564326x985x1
478,564392x1031x0
479,564461x549x1
480,564512x1180x1
481,564512x1181x1
482,564582x2119x1
483,564641x394x0
484,564694x965x0
485,564711x1698x1
486,564735x1391x0
487,564828x1918x0
488,564880x1584x1
489,564918x3067x1
490,564942x1641x0
491,565024x1709x1
492,565194x2399x0
493,565271x2910x1
494,565298x2878x1
495,565564x2045x0
496,565660x2668x0
497,565660x2717x0
498,565660x3017x0
499,565663x644x0
500,565663x656x1
501,565666x405x0
502,565679x1971x1
503,565690x691x1
504,565714x651x0
505,565750x584x1
506,565750x624x0
507,565821x2951x0
508,565826x1684x0
509,565827x1715x0
510,565836x2321x0
511,565841x220x0
512,565944x1952x1
513,565952x2323x0
514,565955x1324x0
515,565961x2064x1
516,565961x2157x0
517,565961x2202x0
518,565961x2231x0
519,565961x2253x1
520,565961x2261x0
521,565961x2266x1
522,565961x2283x0
523,565961x2303x0
524,565961x2311x0
525,565961x2313x0
526,565962x1030x1
527,565962x1037x0
528,565962x1051x0
529,565962x1106x0
530,565962x1174x0
531,565962x1177x0
532,565962x1216x0
533,565962x1248x0
534,565962x1259x0
535,565962x1263x0
536,566013x552x0
537,566020x1645x0
538,566021x1570x0
539,566045x1671x0
540,566048x960x1
541,566081x1291x0
542,566110x512x0
543,566156x1944x0
544,566174x688x1
545,566180x903x0
546,566193x1446x0
547,566212x494x1
548,566269x1445x1
549,566315x1021x1
550,566465x1734x0
551,566595x1425x0
552,566595x1431x0
553,566601x377x1
554,566612x1982x0
555,566612x1989x0
556,566616x2495x1
557,566621x3102x0
558,566622x2266x0
559,566622x2275x0
560,566626x367x0
561,566626x385x0
562,566626x414x0
563,566626x449x0
564,566627x3125x0
565,566629x2215x0
566,566630x111x1
567,566634x1413x0
568,566638x3012x0
569,566638x3026x0
570,566638x3045x0
571,566641x186x0
572,566641x415x0
573,566643x1141x0
574,566647x1288x0
575,566647x1810x0
576,566738x1609x0
577,566740x1563x1
578,566867x937x0
579,566867x938x1
580,566867x1129x0
581,566867x1130x1
582,566867x1131x0
583,566867x1157x0
584,566867x1158x0
585,566867x1159x0
586,566867x1160x1
587,566867x1161x0
588,566867x1162x0
589,566867x1682x0
590,567029x1590x0
591,567035x385x0
592,567047x2039x0
593,567047x2075x0
594,567047x2080x0
595,567077x2408x0
596,567199x1042x0
597,567207x1307x0
598,567212x869x0
599,567215x785x0
600,567215x795x0
601,567217x554x0
602,567217x655x0
603,567223x1769x0
604,567225x1736x0
605,567233x282x0
606,567235x1952x0
607,567237x1493x0
608,567240x1021x1
609,567243x939x0
610,567245x561x0
611,567254x2078x0
612,567254x2080x0
613,567254x2089x0
614,567254x2113x0
615,567254x2115x0
616,567254x2124x0
617,567254x2200x0
